Station,StationName,Contact,Program,Email,IncludedInDataset,SensorStatus,PositionOfSensorMeasurement,PositionOfSensorAttachment,DistanceFromSensorAttachmentPoint,SensorDepth,ChangesSensorDeployment,InstrumentManufacturer,InstrumentModel,CDECUnits,CDECPrecision,SensorAccuracy,BackupSensor,DataTreated,DataTreatmentDescription,DistanceFromShore,Comments,AdditionalDataSource,StationNumber,StartDateAdditionalData,EndDateAdditionalData
FAL,FALSE RIVER NEAR OAKLEY,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.52,Y,YSI,"EXO C/T Probe (Installed 3/16/2016), 6560 (6-Series)",F,0.1,"0.01 (2016-Present), 0.15 (Prior to 2016)",N,N,NA,6,Sensor depths vary between 0.434 and 0.933 feet,Water Data Library (Public),B9504400,10/20/2005,present
FCT,FISHERMANS CUT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.43,Y,YSI,"EXO C/T Probe (Installed 2/4/2015), 6560 (6-Series)",F,0.1,"0.01 (2015-Present), 0.15 (Prior to 2015)",N,N,NA,24,Sensor depths vary between 0.434 and 0.933 feet,Water Data Library (Public),B9505000,10/7/2014,present
GCT,GRANTLINE CANAL AT TRACY RD BRIDGE,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Discontinued,Surface,Surface,1,NA,N,YSI,6560 (6-Series),F,0.1,0.15,N,N,NA,13,Sensor depths vary between 0.434 and 0.933 feet,Water Data Library (Public),B9530000,3/6/2006,8/3/2018
GLC,GRANTLINE CANAL (USGS),Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.67,Y,YSI,"EXO C/T Probe (Installed 5/24/2018), 6560 (6-Series)",F,0.1,"0.01 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,6,Sensor depths vary between 0.434 and 0.933 feet,Water Data Library (Public),B9529500,2/2/2007,present
GLE,GRANT LINE CANAL EAST,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.26,Y,YSI,"EXO C/T Probe (Installed 6/23/2017), 6560 (6-Series)",F,0.1,"0.01 (2017-Present), 0.15 (Prior to 2017)",N,N,NA,8.5,Sensor depths vary between 0 and 2.47 feet,Water Data Library (Public),B9532000,2/26/2013,present
HLT,MIDDLE RIVER NEAR HOLT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.4,Y,YSI,"EXO C/T Probe (Installed 6/5/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,13,Sensor depths vary between 0.51 and 2.25 feet,Water Data Library (Public),B9545800,6/23/2006,present
HOL,HOLLAND CUT NEAR BETHEL ISLAND,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.54,Y,YSI,"EXO C/T Probe (Installed 3/26/2015), 6560 (6-Series)",F,0.1,"0.01 (2015-Present), 0.15 (Prior to 2015)",N,N,NA,9,Sensor depths vary between 0.904 and 2.44 feet,Water Data Library (Public),B9512000,10/20/2005,present
LIS,YOLO BYPASS AT LISBON,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.19,N,YSI,"EXO C/T Probe (Installed 6/25/2019), 6560 (6-Series)",F,0.1,"0.1 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,3,Sensor depths vary between 0 and 2.11 feet,Water Data Library (Public),B91560Q,11/16/2001,present
MHO,MIDDLE RIVER NEAR HOWARD ROAD BRIDGE,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.54,Y,YSI,"EXO C/T Probe (Installed 10/3/2018), 6560 (6-Series)",F,0.1,"0.01 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,9,Sensor depths vary between 0.299 and 2.46 feet,Water Data Library (Public),B9553100,10/1/1999,present
MIR,MINER SLOUGH NEAR SACRAMENTO RIVER,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.53,Y,YSI,"EXO C/T Probe (Installed 4/11/2017), 6560 (6-Series)",F,0.1,"0.01 (2017-Present), 0.15 (Prior to 2017)",N,N,NA,5,Sensor depths vary between 0.546 and 2.92 feet,Water Data Library (Public),B9147000,6/12/2015,present
MOK,MOKELUMNE R @ SAN JOAQUIN RIVER,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.52,Y,YSI,"EXO C/T Probe (Installed 3/16/2016), 6560 (6-Series)",F,0.1,"0.01 (2016-Present), 0.15 (Prior to 2016)",N,N,NA,12,Sensor depths vary between 0.787 and 2.46 feet,Water Data Library (Public),B9409500,4/4/2008,present
MRU,MIDDLE RIVER AT UNDINE ROAD,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.36,Y,YSI,"EXO C/T Probe (Installed 5/11/2017), 6560 (6-Series)",F,0.1,"0.01 (2017-Present), 0.15 (Prior to 2017)",N,N,NA,4,Sensor depths vary between 0.556 and 2.45 feet,Water Data Library (Public),B9554100,6/4/2002,present
MRX,MIDDLE RIVER NEAR TRACY BLVD,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,2.08,Y,YSI,"EXO C/T Probe (Installed 10/3/2018), 6560 (6-Series)",F,0.1,"0.01 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,9,Sensor depths vary between 0.606 and 3.02 feet,Water Data Library (Public),B9550600,1/1/2003,present
MUP,MIDDLE RIVER AT UNION POINT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Discontinued,Surface,Surface,1 to 2,NA,N,YSI,6560 (6-Series),F,0.1,0.15,N,N,NA,6,NA,Water Data Library (Public),B9550000,2/23/2006,8/14/2018
OAD,OLD RIVER NEAR DMC ABOVE DAM,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Discontinued,Surface,Surface,1,NA,N,YSI,6560 (6-Series),F,0.1,0.15,N,N,NA,8,NA,Water Data Library (Public),B9536600,1/1/2000,11/28/2017
OBI,OLD RIVER AT BACON ISLAND (USGS),Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.98,Y,YSI,"EXO C/T Probe (Installed 1/10/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,37,"Sensor depths vary between 0.231 and 3.4 feet;  on 1/5/2019, the pile, OBI was located on, dislodged itself and floated downstream. Station was relocated to a a nearby pile at (37.968971, -121.572694); Distance from shore used to be 11 before relocation",Water Data Library (Public),B9525000,10/1/2000,4/6/2011
ODM,OLD RIVER AT DELTA MENDOTA CANAL,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.39,Y,YSI,"EXO C/T Probe (Installed 1/10/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,8,Sensor depths vary between 0.062 and 2.44 feet,Water Data Library (Public),B9536500,1/18/2006,present
OH1,OLD RIVER AT HEAD,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,0.953,Y,YSI,"EXO C/T Probe (Installed 4/24/2018), 6560 (6-Series)",F,0.1,"0.01 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,9,Sensor depths vary between 0.192 and 3.74 feet,Water Data Library (Public),B9540000,1/1/2001,present
ORI,OLD RIVER AT CLIFTON COURT INTAKE,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,NA,Y,YSI,"EXO C/T Probe (Installed 2/6/2020), 6560 (6-Series)",F,0.1,"0.01 (2020-Present), 0.15 (Prior to 2020)",N,N,NA,6.5,NA,Water Data Library (Public),B9534100,4/10/2018,present
ORM,OLD RIVER UPSTREAM OF MOUNTAIN HOUSE CRK,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.34,Y,YSI,"EXO C/T Probe (Installed 6/13/2017), 6560 (6-Series)",F,0.1,"0.01 (2017-Present), 0.15 (Prior to 2017)",N,N,NA,16,Sensor depths vary between 0.318 and 2.72 feet,Water Data Library (Public),B9537000,2/25/2015,present
ORQ,OLD RIVER @ QUIMBLY IS NEAR BETHEL IS,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.59,Y,YSI,"EXO C/T Probe (Installed 5/15/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,25,Sensor depths vary between 0.811 and 2.31 feet,Water Data Library (Public),B9520000,10/20/2005,present
ORX,OLD RIVER ABOVE DOUGHTY CUT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.38,Y,YSI,"EXO C/T Probe (Installed 5/1/2018), 6560 (6-Series)",F,0.1,"0.01 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,11,Sensor depths vary between 0.612 and 2.61 feet,Water Data Library (Public),B9539000,3/21/2013,present
OSJ,OLD RIVER AT FRANKS TRACT NEAR TERMINOUS,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.36,Y,YSI,"EXO C/T Probe (Installed 6/29/2017), 6560 (6-Series)",F,0.1,"0.01 (2017-Present), 0.15 (Prior to 2017)",N,N,NA,122,Sensor depths vary between 0.632 and 2.2 feet,Water Data Library (Public),B9510800,10/20/2005,present
PDC,PARADISE CUT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.39,Y,YSI,"EXO C/T Probe (Installed 7/9/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,4.5,Sensor depths vary between 0.629 and 2.12 feet,Water Data Library (Public),B9541000,4/30/2014,present
SGA,SUGAR CUT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,0.929,Y,YSI,"EXO C/T Probe (Installed 7/9/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,9,Sensor depths vary between 0.255 and 1.65 feet,Water Data Library (Public),B9541500,4/30/2014,present
SJD,SAN JOAQUIN RIVER ABOVE DOS REIS,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,NA,Y,YSI,"EXO C/T Probe (Installed 7/9/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,8,NA,Water Data Library (Public),B9576000,6/10/2013,present
SOI,SACRAMENTO R DOWNSTREAM OF ISLETON,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.84,Y,YSI,"EXO C/T Probe (Installed 7/3/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,27,Sensor depths vary between 0.987 and 2.73 feet,Water Data Library (Public),B9125000,6/12/2015,present
SXS,STEAMBOAT SLOUGH NR SACRAMENTO R,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.88,Y,YSI,"EXO C/T Probe (Installed 10/5/2018), 6560 (6-Series)",F,0.1,"0.01 (2018-Present), 0.15 (Prior to 2018)",N,N,NA,24,Sensor depths vary between 0.483 and 2.72 feet,Water Data Library (Public),B9145000,6/12/2015,present
TPI,TOM PAINE SLOUGH ABV INTAKE STRUCTURE,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,NA,0.497,N,YSI,6560 (6-Series),F,0.1,0.15,N,N,NA,3,Sensor depths vary between 0.015 and 0.92 feet,Water Data Library (Public),B9542100,7/8/2014,present
TRN,TURNER CUT NEAR HOLT,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.57,Y,YSI,"EXO C/T Probe (Installed 3/26/2015), 6560 (6-Series)",F,0.1,"0.01 (2015-Present), 0.15 (Prior to 2015)",N,N,NA,23,Sensor depths vary between 0.687 and 2.53 feet,Water Data Library (Public),B9561600,6/18/2009,present
TSL,THREEMILE SLOUGH AT SAN JOAQUIN RIVER,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.38,Y,YSI,"EXO C/T Probe (Installed 3/26/2015), 6560 (6-Series)",F,0.1,"0.01 (2015-Present), 0.15 (Prior to 2015)",N,N,NA,8,Sensor depths vary between 0.575 and 2.19 feet,Water Data Library (Public),B9506100,4/10/2008,present
TWA,OLD RIVER AT TRACY WILDLIFE ASSOCIATION,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.27,Y,YSI,"EXO C/T Probe (Installed 6/12/2019), 6560 (6-Series)",F,0.1,"0.01 (2019-Present), 0.15 (Prior to 2019)",N,N,NA,10,Sensor depths vary between 1.11 and 1.5 feet,Water Data Library (Public),B9537800,7/14/1999,present
VCU,VICTORIA CANAL NEAR BYRON,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,1.58,Y,YSI,"EXO C/T Probe (Installed 6/23/2016), 6560 (6-Series)",F,0.1,"0.01 (2016-Present), 0.15 (Prior to 2016)",N,N,NA,20,Sensor depths vary between 0.865 and 2.27 feet,Water Data Library (Public),B9528500,3/30/2007,present
WCI,WEST CANAL AT CLIFTON COURT INTAKE,Patrick Scott & Jared Frantzich,NCRO- Water Quality Evaluation Section,Patrick.Scott@water.ca.gov; Jared.Frantzich@water.ca.gov,Y,Active,Surface,Surface,1 to 2,NA,Y,YSI,"EXO C/T Probe (Installed 2/6/2020), 6560 (6-Series)",F,0.1,"0.01 (2020-Present), 0.15 (Prior to 2020)",N,N,NA,11,NA,Water Data Library (Public),B9533800,4/10/2018,present
MAB,MIDDLE RIVER ABOVE BARRIER,Dave Huston,NCRO-Flow Monitoring and Special Studies Section,Dave.Huston@water.ca.gov,Y,Active,Bottom,Surface,NA,NA,N,Teledyne RD Instruments & In-Situ,"ChannelMaster ADCP 600 kHz (until 2016), Level Troll 700H (2016 - Present)",F,0.1,0.2 C & 0.1 C,Y,N,NA,6,"Sensor depth is variable, inconsistent",Water Data Library (Public),B95502,4/23/2013,present
RCS,RIDGE CUT SLOUGH AT KNIGHTS LANDING,Dave Huston,NCRO-Flow Monitoring and Special Studies Section,Dave.Huston@water.ca.gov,Y,Active,Bottom,Surface,NA,NA,N,Teledyne RD Instruments & In-Situ,"ChannelMaster ADCP 600 kHz (until 2016), Level Troll 700H (2016 - Present)",F,0.1,0.2 C & 0.1 C,Y,N,NA,3,"Sensor depth is variable, inconsistent; Ridge Cut is an extension of the Colusa Drain and is also ""connected"" to the Sacramento River via the Colusa Outfall Gates.  It's really more of gravity flow freshwater channel that has the occasional ""backwater"" due to gate operations causing the water to sometimes flow backwards into the Sacramento River.",Water Data Library (Public),A02939,4/13/2006,present
SJC,SAN JOAQUIN RIVER NEAR BUCKLEY COVE,Dave Huston,NCRO-Flow Monitoring and Special Studies Section,Dave.Huston@water.ca.gov,Y,Active,Bottom,Surface,NA,NA,N,Teledyne RD Instruments & In-Situ,"ChannelMaster ADCP 300 kHz (until 2018), Level Troll 700H (2018 - Present)",F,0.1,0.2 C & 0.1 C,Y,N,NA,16,"Sensor depth is variable, inconsistent",Water Data Library (Public),B95640Q,6/11/2018,present
BAC,BACON ISLAND AT OLD RIVER,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,4,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95250,6/1/2008,present
BDT,SAN JOAQUIN R AT BRANDT BRIDGE,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95740 ,10/1/1988,present
BIR,MIDDLE R AT BACON ISLAND RD,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,NA,NA,NA,NA
DAR,DRAINAGE AT ARBOR ROAD ,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,C,0.1,0.1,N,N,NA,1,Sensor depth is 0-1 from bottom,NA,NA,NA,NA
ECD,EAST CONTRA COSTA ID PP#1,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,C,0.1,0.1,N,N,NA,3,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95242,3/1/2008,present
MHR,MIDDLE RIVER AT HOWARD ROAD BRIDGE,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Discontinued,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,6,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95530,6/1/2008,7/7/2010
MKN,NF MOKELUMNE R BLW SNODGRASS SLOUGH,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,C,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B94133,10/1/1990,present
MTB,MIDDLE RIVER AT TRACY BLVD,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,6,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95503,10/1/1988,present
OBD,OLD RIVER NEAR DMC BELOW DAM,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Discontinued,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95365,10/1/1997,7/2/2010
OLD,OLD RIVER NEAR TRACY,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95380 ,10/1/1988,present
PCO,PARADISE CUT ABV OLD R,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95410 ,1/1/2008,present
RSL,ROCK SLOUGH ABV CONTRA COSTA CANAL,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,3,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95218,11/1/2008,present
SJL,SAN JOAQUIN R BLW OLD R NEAR LATHROP,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95765,12/17/2007,present
SR3,THREE MILE SLOUGH AT SAN JOAQUIN R,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,C,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95060,10/1/1990,present
SUR,SUGAR CUT,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B95422,6/25/2008,present
SUS,STEAMBOAT SLOUGH BLW SUTTER SLOUGH,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,C,0.1,0.1,N,N,NA,5,Sensor depth is 0-1 from bottom,Water Data Library (Public),B91479,10/1/1990,present
SWE,SACRAMENTO R AT WALNUT GROVE EC,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,C,0.1,0.1,N,N,NA,10,Sensor depth is 0-1 from bottom,Water Data Library (Public),B91650,10/1/1988,present
TMS,THREE MILE SLOUGH ,Kenneth Karcher & Matt Mulligan,NCRO-Surface Water Section,Kenneth.Karcher@water.ca.gov; Matthew.Mulligan@water.ca.gov ,Y,Active,Bottom,Surface,0 to 1,NA,N,YSI,600LS,F,0.1,0.1,N,N,NA,50,Sensor depth is 0-1 from bottom,NA,NA,NA,NA
BKS,BARKER SLOUGH PUMPING PLANT (KG000000),"Tanya Veldhuizen, Daniel Wisheropp & Mike Taliaferro",O&M-Delta Field Division,Tanya.Veldhuizen@water.ca.gov; Mike.Taliaferro@water.ca.gov; Daniel.Wisheropp@water.ca.gov,Y,Active,NA,Surface,NA,8,N,Foxboro,875EC-A3F-A,"F, C",0.1,0.1,N,Y,Outlier filter of 5 - 30 degrees,0,NA,Water Data Library- WT from grab samples and handheld available,NA,NA,NA
CLC,CLIFTON COURT,"Tanya Veldhuizen, Daniel Wisheropp & Mike Taliaferro",O&M-Delta Field Division,Tanya.Veldhuizen@water.ca.gov; Mike.Taliaferro@water.ca.gov; Daniel.Wisheropp@water.ca.gov,Y,Active,NA,Surface,1,8,N,Foxboro,875EC-A2F-A,C,0.1,0.1,N,Y,Outlier filter of 5 - 30 degrees,0,NA,Water Data Library- WT from grab samples and handheld available,NA,NA,NA
CPP,CORDELIA PUMPING PLANT (KG002111),"Tanya Veldhuizen, Daniel Wisheropp & Mike Taliaferro",O&M-Delta Field Division,Tanya.Veldhuizen@water.ca.gov; Mike.Taliaferro@water.ca.gov; Daniel.Wisheropp@water.ca.gov,Y,Active,NA,Surface,NA,6,N,Foxboro,875EC-A2F-A,"F, C",0.1,0.1,N,Y,Outlier filter of 5 - 30 degrees,0,NA,Water Data Library- WT from grab samples and handheld available,NA,NA,NA
DV7,DEL VALLE CHECK 7 (KB001638),"Tanya Veldhuizen, Daniel Wisheropp & Mike Taliaferro",O&M-Delta Field Division,Tanya.Veldhuizen@water.ca.gov; Mike.Taliaferro@water.ca.gov; Daniel.Wisheropp@water.ca.gov,Y,Active,NA,Surface,1,8,N,Foxboro,875EC-A2F-A,"F, C",0.1,0.1,N,Y,Outlier filter of 5 - 30 degrees,0,NA,Water Data Library- WT from grab samples and handheld available,NA,NA,NA
DYR,DYER RESERVOIR,"Tanya Veldhuizen, Daniel Wisheropp & Mike Taliaferro",O&M-Delta Field Division,Tanya.Veldhuizen@water.ca.gov; Mike.Taliaferro@water.ca.gov; Daniel.Wisheropp@water.ca.gov,Y,Active,NA,Surface,NA,10,N,Foxboro,875EC-A2F-A,C,0.1,0.1,N,Y,Outlier filter of 5 - 30 degrees,0,NA,Water Data Library- WT from grab samples and handheld available,NA,NA,NA
